Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
1TestSuit,Chrome 70.0.3538.110,,2018-12-05 21:18:38,2018-12-05 21:18:51,12.914s,FAILED
,,,,,,
Test Cases/2.1 Submit a Listing - AC,Chrome 70.0.3538.110,,2018-12-05 21:18:39,2018-12-05 21:18:50,10.967s,FAILED
"openBrowser("""")",Chrome 70.0.3538.110,,2018-12-05 21:18:40,2018-12-05 21:18:46,6.488s,PASSED
"navigateToUrl(""http://porchlightdev.getventive.com/login"")",Chrome 70.0.3538.110,,2018-12-05 21:18:46,2018-12-05 21:18:48,1.566s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2018-12-05 21:18:48,2018-12-05 21:18:49,1.213s,PASSED
"click(findTestObject(""Object Repository/porchlightdev.getventive.com/2.1 Submit a Listing - AC/Page_Connect 2  PorchLight Real Est/i_Use your PorchLight email an""))",Chrome 70.0.3538.110,,2018-12-05 21:18:49,2018-12-05 21:18:50,0.710s,FAILED
